1,2,3,4,5,6,7,8,9,10,11,12,13
0.22376,0.34373,0.040779,0.11156,-0.096564,0.081746,2.8003,2.503,0.0023798,-0.1834,0.9794,0.94257,1
0.218,0.34443,0.038773,0.11218,-0.09372,0.08089,2.8405,2.7198,-0.027587,-0.060106,0.98042,0.94224,1
0.2253,0.35021,0.044179,0.11381,-0.081348,0.094535,2.8298,2.6698,-0.13503,-0.12543,0.97766,0.94138,1
0.22382,0.3517,0.041323,0.11594,-0.093846,0.088556,2.7977,2.8153,-0.14308,-0.043716,0.97912,0.94024,1
0.21863,0.33212,0.038823,0.10326,-0.094919,0.084476,2.9881,2.5801,-0.021282,-0.14423,0.9804,0.94697,1
0.22555,0.3634,0.042333,0.12441,-0.092602,0.088085,2.9695,2.6085,-0.11313,-0.21732,0.9786,0.93573,1
0.21626,0.35621,0.03996,0.11576,-0.082706,0.10595,2.806,2.8904,-0.1296,-0.15566,0.97982,0.94034,1
0.21845,0.34591,0.035365,0.11285,-0.1113,0.08307,3.1007,2.6951,-0.086436,-0.1834,0.98216,0.94189,1
0.23555,0.33226,0.045113,0.10211,-0.10203,0.091533,3.047,2.3467,-0.12514,-0.15467,0.97718,0.94757,1
0.22108,0.34919,0.040323,0.11155,-0.09267,0.10235,2.7335,2.7802,-0.085717,-0.13361,0.97963,0.94257,1
0.22327,0.33554,0.04007,0.10434,-0.099067,0.091257,2.8301,2.6707,-0.084221,-0.20958,0.97976,0.94639,1
0.22278,0.33606,0.038294,0.10457,-0.10663,0.091953,2.7013,2.8239,-0.12044,-0.15232,0.98067,0.94627,1
0.2229,0.34907,0.041205,0.11198,-0.092274,0.099807,2.9144,2.5238,-0.14729,-0.11832,0.97918,0.94235,1
0.21037,0.33394,0.034181,0.1019,-0.10051,0.098495,2.7703,2.5061,-0.060115,-0.14498,0.98276,0.94768,1
0.22205,0.32382,0.039261,0.095215,-0.10038,0.098607,2.6695,2.6609,-0.12119,-0.17174,0.98017,0.9512,1
0.22451,0.34449,0.042719,0.10832,-0.087874,0.10219,3.0485,2.6149,-0.16508,-0.22156,0.97841,0.94429,1
0.23506,0.36054,0.045914,0.11814,-0.096838,0.10931,2.7681,2.572,-0.17914,-0.14393,0.97677,0.93907,1
0.225,0.33804,0.040102,0.10468,-0.10275,0.098396,2.974,2.6002,-0.19986,-0.19171,0.97974,0.94621,1
0.22385,0.33892,0.041748,0.10538,-0.091627,0.097842,2.6549,2.6484,-0.16453,-0.14782,0.9789,0.94584,1
0.23689,0.33637,0.045164,0.10413,-0.10485,0.095434,3.083,2.7281,-0.1515,-0.12869,0.97716,0.94651,1
0.23311,0.33381,0.044177,0.1032,-0.10099,0.091169,3.0129,2.4417,-0.12938,-0.11032,0.97766,0.94699,1
0.22642,0.33415,0.038852,0.10333,-0.11156,0.091731,2.6531,2.4516,-0.18631,-0.12958,0.98038,0.94693,1
0.23401,0.33938,0.044243,0.10731,-0.10274,0.089213,2.6267,2.7823,-0.15717,-0.037119,0.97763,0.94482,1
0.22622,0.34078,0.040472,0.10832,-0.10363,0.088886,2.8426,2.6675,-0.20905,-0.14585,0.97956,0.94429,1
0.22803,0.34182,0.042626,0.10871,-0.096996,0.090683,2.6314,2.882,-0.18897,-0.19241,0.97845,0.94408,1
0.23357,0.33525,0.045406,0.10266,-0.095861,0.099113,3.0276,2.6418,-0.21463,-0.11866,0.97703,0.94728,1
0.23926,0.34201,0.045704,0.10859,-0.10762,0.092019,2.802,2.6167,-0.14319,-0.20894,0.97688,0.94414,1
0.23851,0.34678,0.046313,0.11115,-0.10302,0.095906,2.7877,2.7826,-0.22164,-0.13653,0.97657,0.94279,1
0.23801,0.32427,0.04701,0.098206,-0.098378,0.083839,2.6367,2.6672,-0.12417,-0.16167,0.97621,0.94963,1
0.23267,0.33685,0.043938,0.1042,-0.10117,0.096739,2.7107,2.8286,-0.1839,-0.1215,0.97778,0.94647,1
0.23028,0.34588,0.042978,0.11018,-0.10043,0.097698,2.8721,2.5632,-0.080783,-0.11672,0.97828,0.9433,1
0.23764,0.32841,0.044935,0.09916,-0.10759,0.093695,2.5301,2.8106,-0.20648,-0.14322,0.97727,0.94913,1
0.22546,0.32225,0.038968,0.094599,-0.10908,0.096566,3.1354,2.3852,-0.13084,-0.15368,0.98032,0.95153,1
0.23418,0.32129,0.042733,0.094025,-0.1102,0.096323,3.0122,2.6286,-0.087017,-0.17049,0.9784,0.95183,1
0.22262,0.332,0.039489,0.10197,-0.10052,0.09134,2.8139,2.7031,-0.095182,-0.15802,0.98006,0.94765,1
0.21702,0.33633,0.037584,0.10365,-0.097694,0.097723,2.6439,2.7879,-0.15066,-0.23366,0.98103,0.94676,1
0.22596,0.33604,0.040001,0.10495,-0.10531,0.089755,2.7617,2.6576,-0.076938,-0.20047,0.9798,0.94607,1
0.22483,0.33686,0.039776,0.10536,-0.10395,0.090576,2.8263,2.6123,-0.19163,-0.14639,0.97991,0.94585,1
0.21797,0.34599,0.040732,0.11189,-0.082531,0.088918,2.7848,2.574,-0.20641,-0.21069,0.97942,0.94239,1
0.98768,0.94922,0.96225,0.89623,-0.11862,0.074351,4.9238,4.1299,0.055228,0.0022116,0.98094,0.94669,2
