1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0.020347,0.022563,0.018531,0.019117,0.02166,0.00049306,0.00063045,0.00035558,0.0003262,0.00039321,0.0044226,0.0021696,0.007677,0.010222,0.012433,0.022205,0.025109,0.018857,0.018061,0.01983,2.0645,1.9678,2.3102,1.9096,1.5513,0.66751,0.36905,0.61217,-0.044881,-0.1906,0.038435,0.038437,0.036847,0.03386,0.03356,1.8889,1.7036,1.9884,1.7712,1.5494,0.00041401,0.00050907,0.0003434,0.00036545,0.00046916,0.01873,0.016324,0.038992,0.044295,0.02259,0.00043833,0.00021849,0.0013054,0.0017129,0.00040807,-0.00036982,0.0095742,0.021819,0.024326,0.01356,0.020936,0.014781,0.03613,0.041387,0.020201,1.8819,2.0589,2.6466,2.7748,1.8974,-0.21998,-0.45757,1.0047,1.118,0.10997,0.025529,0.025535,0.081823,0.094356,0.040542,1.5525,1.5643,2.0984,2.1302,1.7946,0.0003508,0.00026646,0.0015204,0.001962,0.00051033,1
0.022158,0.016919,0.026666,0.033961,0.025809,0.00056146,0.00035613,0.00081756,0.0012587,0.00072343,0.0064671,0.0011682,-0.0075519,-0.0121,-0.009346,0.023695,0.018871,0.028593,0.035478,0.026897,1.8403,2.0324,1.7029,2.0602,1.6727,-0.17397,-0.27198,-0.0096655,-0.49829,-0.22636,0.035796,0.024436,0.028557,0.026923,0.021097,1.6155,1.5178,1.6433,1.9141,1.7658,0.00049099,0.00028627,0.00071108,0.0011533,0.00066609,0.037066,0.035421,0.038505,0.02987,0.02546,0.0017024,0.0015437,0.0018441,0.0010265,0.00033004,0.0034516,0.0044378,0.002712,0.0084236,0.0196,0.041261,0.03929,0.042943,0.03204,0.018167,2.4447,2.3714,2.4902,2.0049,1.4741,-0.864,-0.80221,-0.90146,-0.47018,0.16119,0.040774,0.040822,0.041118,0.041598,0.042196,1.708,1.6481,1.7467,1.3927,1.6574,0.0013739,0.0012546,0.0014826,0.00089219,0.00064821,1
0.018231,0.01841,0.019154,0.020769,0.021349,0.00037242,0.00040094,0.00043098,0.00049671,0.00054223,0.0046938,0.0021905,0.0027815,0.0041723,0.0019818,0.019298,0.020024,0.02076,0.022287,0.023286,3.0367,2.7587,2.9943,3.1431,3.1236,-0.7259,-0.37725,-0.59036,-0.89502,-0.78785,0.029744,0.030386,0.030938,0.031425,0.031844,1.6315,1.683,1.7362,1.7463,1.861,0.00033238,0.00033892,0.00036689,0.00043133,0.00045579,0.042548,0.026407,0.022221,0.021331,0.021062,0.001927,0.00081353,0.00060564,0.00056557,0.00055443,-0.016395,-0.0068211,0.0030407,0.0016025,-0.00024655,0.043897,0.028522,0.02461,0.023782,0.023546,2.441,2.6099,1.971,2.432,2.8834,-0.33283,0.96099,0.64085,0.90944,1.2199,0.040224,0.040224,0.040224,0.040224,0.040224,1.9309,1.5232,1.8102,1.8857,1.9098,0.0018104,0.00069735,0.00049376,0.00045502,0.00044361,1
0.036304,0.019247,0.017011,0.027838,0.024698,0.0013904,0.00041469,0.00031785,0.00081273,0.00065199,0.011235,0.0038743,-0.0041127,-0.0088513,-0.0071525,0.037288,0.020364,0.017828,0.028508,0.025534,4.0662,2.4944,2.0345,2.7848,2.4336,1.4463,0.11012,0.05243,-0.7367,-0.41624,0.089765,0.036606,0.023171,0.027514,0.028546,2.4726,1.9019,1.642,2.1952,2.0315,0.001318,0.00037046,0.00028936,0.00077497,0.00061001,0.019667,0.053179,0.057703,0.047581,0.022435,0.00046223,0.0030557,0.0035761,0.0023966,0.00059585,-0.001267,-0.016779,-0.018696,-0.016334,-0.0026024,0.0215,0.055279,0.059801,0.048955,0.02441,2.3588,3.6937,3.7611,3.1375,2.5978,0.17106,-1.4645,-1.5116,-1.1668,-0.28242,0.032229,0.032229,0.032229,0.032228,0.032228,1.6387,2.3517,2.3667,2.2592,1.8608,0.0003868,0.002828,0.0033297,0.0022639,0.00050331,1
0.029154,0.035813,0.034638,0.023929,0.015478,0.00091614,0.0013656,0.0012798,0.00062424,0.00024186,0.0041344,0.0064102,0.0060309,0.0022568,-0.0044378,0.030268,0.036954,0.035774,0.024985,0.015552,5.9841,6.7238,6.6124,5.3724,7.0422,1.2531,1.792,1.7227,0.51715,-2.223,0.082505,0.10754,0.10326,0.06152,0.010621,2.83,3.0028,2.9812,2.571,3.1162,0.00084995,0.0012826,0.0011998,0.00057259,0.00023957,0.041584,0.051066,0.046501,0.028843,0.031361,0.0017963,0.0026374,0.0021942,0.00093492,0.0012061,0.017094,0.022312,0.020176,0.0091633,-0.0043145,0.042383,0.051356,0.046842,0.030576,0.034729,1.8877,2.12,2.0049,1.8583,1.3091,-0.13088,0.31955,0.14913,-0.70365,0.077109,0.071101,0.097193,0.085445,0.034771,0.034767,1.7098,1.9033,1.8375,1.2745,1.3378,0.0017292,0.0026078,0.0021624,0.0008319,0.0009835,1
0.027653,0.02872,0.030298,0.025668,0.024625,0.0008442,0.00090691,0.00098701,0.00076092,0.00072755,-0.0078231,-0.0083098,-0.0097702,-0.004972,0.00034769,0.029055,0.030115,0.031417,0.027585,0.026973,2.1677,2.2973,1.9015,3.0966,3.4925,-0.78477,-0.84696,-0.69763,-1.189,-1.4508,0.017927,0.017956,0.017981,0.017999,0.018013,2.0349,2.0741,1.9678,2.1985,2.1103,0.0007647,0.00082481,0.00091797,0.00065882,0.00060641,0.029676,0.034856,0.025012,0.018857,0.02459,0.0010023,0.0013424,0.00073826,0.00044003,0.00064418,-0.0088756,-0.011875,-0.0059171,0.0018902,0.0094509,0.03166,0.036639,0.027171,0.020977,0.025381,1.5326,1.833,1.366,1.497,1.3296,-0.08038,-0.35984,0.20057,-0.01857,-0.21169,0.026864,0.026859,0.026853,0.026847,0.037092,1.6575,1.8414,1.4115,1.4237,1.5084,0.00088064,0.0012149,0.00062562,0.0003556,0.00060467,1
0.026282,0.027977,0.028824,0.025029,0.028189,0.0008226,0.00068207,0.00070924,0.00070287,0.00099032,0.0057161,0.015396,0.01623,0.0080108,0.0015438,0.028681,0.026117,0.026632,0.026512,0.031469,1.8781,2.3025,2.2017,2.1067,1.6795,0.36763,-0.26388,-0.33094,0.3754,0.0019293,0.047153,0.048994,0.04896,0.04705,0.042318,1.7941,1.7512,1.6986,1.8798,1.5012,0.00069075,0.00078269,0.00083082,0.00062647,0.00079464,0.036759,0.033205,0.03326,0.031528,0.032201,0.0016198,0.0013044,0.0013233,0.0011871,0.0012114,-0.0011642,0.0039379,0.0018833,0.0021915,0.0052391,0.040247,0.036117,0.036377,0.034454,0.034805,1.7472,2.768,2.4767,2.9959,3.2165,-0.39393,-0.8161,-0.65785,-0.84193,-1.0578,0.043918,0.0439,0.043882,0.043864,0.043846,1.6289,1.8012,1.7944,1.8872,1.8403,0.0013512,0.0011025,0.0011063,0.00099402,0.0010369,1
0.03386,0.035962,0.023363,0.013724,0.019088,0.001317,0.0014751,0.00065962,0.00019092,0.00031395,-0.009638,-0.010639,-0.0042558,0.0059664,0.010639,0.03629,0.038406,0.025683,0.013817,0.017719,2.5705,2.6299,1.9969,1.9328,1.7937,-1.0165,-1.0593,-0.59963,-0.52958,-0.37234,0.019379,0.019379,0.019378,0.019378,0.030777,2.0603,2.0791,1.8402,1.412,1.6124,0.0011465,0.0012932,0.00054581,0.00018834,0.00036436,0.069766,0.069049,0.068566,0.068073,0.068243,0.0056785,0.0055484,0.0054796,0.0054062,0.00542,0.00014675,-0.0034634,-0.0021132,-0.00014675,-0.0033753,0.075356,0.074488,0.074024,0.073527,0.073621,3.0812,3.0173,3.1192,3.247,2.9903,-0.94064,-0.8096,-0.86625,-0.94595,-0.77817,0.077746,0.077775,0.07778,0.077761,0.077718,2.0795,2.0973,2.1044,2.1081,2.0873,0.0048673,0.0047678,0.0047013,0.0046339,0.0046571,1
0.044785,0.039341,0.015824,0.020343,0.026132,0.002143,0.0016698,0.00025393,0.00047968,0.00076914,0.012994,0.010788,0.005722,-0.0016391,-0.0048578,0.046292,0.040864,0.015935,0.021902,0.027733,3.3557,2.9929,1.8215,2.1729,2.9029,1.0949,0.868,-0.018816,-0.19647,-0.76815,0.10484,0.088474,0.026975,0.026954,0.026934,2.3409,2.2489,1.7047,1.8094,2.1733,0.0020057,0.0015477,0.0002504,0.00041384,0.00068286,0.067699,0.065175,0.064037,0.064207,0.062148,0.0057243,0.0053036,0.0050328,0.0049769,0.0047163,0.0019313,-0.0022189,-0.0086291,-0.011875,-0.0094509,0.075659,0.072826,0.070942,0.070547,0.068675,3.1402,3.1389,2.7784,2.3769,2.5162,-1.4206,-1.4096,-1.1683,-0.93953,-1.015,0.047448,0.047455,0.047462,0.047468,0.047474,1.9488,2.0091,2.0191,1.9664,1.9752,0.0045831,0.0042478,0.0041007,0.0041225,0.0038624,1
0.040165,0.029857,0.018162,0.023836,0.023159,0.0018672,0.0010389,0.00027741,0.00036958,0.00034659,-0.0035763,0.0010133,0.0095963,0.015855,0.015467,0.043211,0.032231,0.016656,0.019224,0.018617,4.1902,3.6584,4.0118,1.8049,1.8705,-1.4315,-0.9321,1.5496,0.73588,0.74345,0.044663,0.044775,0.044843,0.04487,0.044853,2.363,2.1039,2.469,1.8824,1.9368,0.0016132,0.00089147,0.00032987,0.00056816,0.00053632,0.038486,0.055428,0.062672,0.05058,0.034558,0.0017344,0.0034672,0.0043588,0.002856,0.0014206,0.0059924,0.013526,0.01719,0.013355,0.0032188,0.041646,0.058883,0.066021,0.053441,0.037691,1.6003,2.0622,2.3515,1.9179,1.858,0.080981,0.47027,0.68759,0.47012,0.09605,0.056141,0.10575,0.12773,0.095257,0.056112,1.4587,1.9079,2.0381,1.8833,1.6237,0.0014812,0.0030722,0.0039278,0.0025583,0.0011942,1
